transaction_id,customer_id,transaction_type,merchant_category,amount,transaction_date
TXN_000001,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-01-01
TXN_000002,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-02-02
TXN_000003,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-03-03
TXN_000004,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-04-01
TXN_000005,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-05-03
TXN_000006,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-06-03
TXN_000007,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-07-03
TXN_000008,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-08-03
TXN_000009,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-08-30
TXN_000010,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-09-30
TXN_000011,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-10-30
TXN_000012,CUST_0001,Salary Credit,Employer Direct Deposit,7872.9,2024-11-29
TXN_000013,CUST_0001,Investment,SIP Investment,9618.4,2024-03-27
TXN_000014,CUST_0001,Grocery,Organic Store,2582.11,2024-11-20
TXN_000015,CUST_0001,Utility Bill,Electricity,4093.93,2024-04-30
TXN_000016,CUST_0001,Shopping,Fashion,4034.75,2024-03-16
TXN_000017,CUST_0001,Travel,Airlines,3906.06,2024-02-07
TXN_000018,CUST_0001,Entertainment,Movie Theater,4431.82,2024-10-21
TXN_000019,CUST_0001,Investment,SIP Investment,2817.85,2024-12-01
TXN_000020,CUST_0001,Travel,Airlines,1906.96,2024-12-22
TXN_000021,CUST_0001,Rent,Office Rent,1747.59,2024-03-03
TXN_000022,CUST_0001,Entertainment,Streaming Service,4009.07,2024-12-07
TXN_000023,CUST_0001,Rent,Office Rent,3674.28,2024-11-09
TXN_000024,CUST_0001,Rent,Office Rent,2643.62,2024-03-22
TXN_000025,CUST_0001,Entertainment,Movie Theater,1303.37,2024-05-06
TXN_000026,CUST_0001,Shopping,Online Marketplace,2428.14,2024-05-02
TXN_000027,CUST_0001,Shopping,Home Decor,396.64,2024-05-26
TXN_000028,CUST_0001,Investment,Fixed Deposit,8983.75,2024-02-11
TXN_000029,CUST_0001,EMI,Home Loan EMI,2234.87,2024-12-27
TXN_000030,CUST_0001,Investment,Mutual Fund SIP,3643.37,2024-08-26
TXN_000031,CUST_0001,Dining,Restaurant,1042.1,2024-08-03
TXN_000032,CUST_0001,Dining,Food Delivery,4730.85,2024-01-11
TXN_000033,CUST_0001,Dining,Cafe,39.42,2024-06-29
TXN_000034,CUST_0001,Shopping,Home Decor,4268.71,2024-08-02
TXN_000035,CUST_0001,Rent,Apartment Rent,1818.81,2024-09-05
TXN_000036,CUST_0001,Travel,Car Rental,5497.31,2024-07-26
